profile,workload,variant,repetition,seed,epoch_index,phase,start_operation,end_operation,operations,elapsed_nanos,throughput_ops_s,p50_latency_ns,p95_latency_ns,p99_latency_ns,maintenance_count,maintenance_nanos,controller_nanos,records_moved,leaves_touched,full_rebuilds
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,0,1103515245,0,DIAGNOSTIC_CONTROL,0,2384,2384,17335100,137524.44462391332,300.0,1300.0,11100.0,1,533000,14844700,55,3,0
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,1,214013,0,DIAGNOSTIC_CONTROL,0,2384,2384,2405500,991062.149241322,300.0,1200.0,6400.0,1,27200,415600,55,3,0
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,2,1664525,0,DIAGNOSTIC_CONTROL,0,2384,2384,14803000,161048.43612781193,300.0,1200.0,7600.0,1,376400,12627700,55,3,0
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,3,22695477,0,DIAGNOSTIC_CONTROL,0,2384,2384,2389400,997740.0184146648,300.0,1100.0,6100.0,1,20900,408200,55,3,0
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,4,69069,0,DIAGNOSTIC_CONTROL,0,2384,2384,2402300,992382.3002955501,300.0,1200.0,6600.0,1,22000,427400,55,3,0
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,5,48271,0,DIAGNOSTIC_CONTROL,0,2384,2384,16823300,141708.22609119496,200.0,1100.0,6900.0,1,346100,14666300,55,3,0
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,6,134775813,0,DIAGNOSTIC_CONTROL,0,2384,2384,16222500,146956.38773308677,300.0,1200.0,8800.0,1,381700,13802200,55,3,0
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,7,16807,0,DIAGNOSTIC_CONTROL,0,2384,2384,16131400,147786.30497043033,200.0,1000.0,6400.0,1,411000,14149300,55,3,0
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,8,2147483647,0,DIAGNOSTIC_CONTROL,0,2384,2384,2164000,1101663.5859519409,200.0,1000.0,6400.0,1,20000,392500,55,3,0
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,9,6364136223846793005,0,DIAGNOSTIC_CONTROL,0,2384,2384,3067200,777256.1293688054,300.0,1600.0,8200.0,1,39000,557300,55,3,0
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,0,1103515245,0,LOCAL_HOTSPOT,0,10000,10000,16425800,608798.3538092513,600.0,2200.0,5600.0,0,0,31200,0,0,0
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,0,1103515245,1,LOCAL_HOTSPOT,10000,20000,10000,9635600,1037818.0912449666,600.0,1900.0,3700.0,0,0,11300,0,0,0
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,0,1103515245,2,LOCAL_HOTSPOT,20000,30000,10000,9185600,1088660.512105905,600.0,1800.0,2700.0,0,0,83400,0,0,0
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,0,1103515245,3,LOCAL_HOTSPOT,30000,40000,10000,8714600,1147499.5983751405,600.0,1600.0,2400.0,0,0,73900,0,0,0
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,0,1103515245,4,LOCAL_HOTSPOT,40000,50000,10000,8701200,1149266.7678021423,600.0,1600.0,2600.0,0,0,63400,0,0,0
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,0,1103515245,5,LOCAL_HOTSPOT,50000,60000,10000,8242400,1213238.8624672426,600.0,1600.0,2200.0,0,0,94500,0,0,0
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,0,1103515245,6,LOCAL_HOTSPOT,60000,70000,10000,8666300,1153894.9724796049,600.0,1700.0,2900.0,0,0,70600,0,0,0
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,0,1103515245,7,LOCAL_HOTSPOT,70000,80000,10000,6178300,1618568.2145574025,400.0,1400.0,2100.0,0,0,69500,0,0,0
