profile,workload,variant,repetition,seed,phase,event_id,region_id,commit_operation_index,observation_index_after_commit,region_window_sequence,window_start_operation,window_end_operation,boundary,operations,operation_mix,latency_sample_mix,search_p95_ns,insert_p99_ns,delete_p95_ns,update_p95_ns,range_p95_ns,overall_p99_ns,normalized_service_cost,average_scan_amplification,leaf_splits,leaf_merges,average_occupancy,minimum_occupancy,leaf_count,record_count
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,0,1103515245,LOCAL_HOTSPOT,9,21574,194311,1,5,194479,251048,WINDOW_COMPLETE,1024,SEARCH=0.2607421875;INSERT=0.4462890625;DELETE=0.0849609375;UPDATE=0.16796875;RANGE_SEARCH=0.0400390625,SEARCH=0.11702127659574468;INSERT=0.7553191489361702;DELETE=0.010638297872340425;UPDATE=0.05319148936170213;RANGE_SEARCH=0.06382978723404255,200.0,2500.0,100.0,1000.0,1600.0,2500.0,1.3757635918570774,0.03456867019620056,11,0,0.7044547872340425,0.5,47,2119
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,0,1103515245,LOCAL_HOTSPOT,10,21181,237145,1,8,237175,297963,WINDOW_COMPLETE,1024,SEARCH=0.2509765625;INSERT=0.4423828125;DELETE=0.091796875;UPDATE=0.15625;RANGE_SEARCH=0.05859375,SEARCH=0.17073170731707318;INSERT=0.6097560975609756;DELETE=0.036585365853658534;UPDATE=0.08536585365853659;RANGE_SEARCH=0.0975609756097561,200.0,2200.0,200.0,200.0,4000.0,4000.0,1.665783296736579,0.03388226386522809,24,0,0.6212284482758621,0.5,58,2306
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,0,1103515245,LOCAL_HOTSPOT,10,21181,237145,2,9,297967,299968,RUN_END,32,SEARCH=0.28125;INSERT=0.34375;DELETE=0.09375;UPDATE=0.21875;RANGE_SEARCH=0.0625,SEARCH=0.0;INSERT=0.5;DELETE=0.5;UPDATE=0.0;RANGE_SEARCH=0.0,NaN,600.0,100.0,NaN,NaN,600.0,0.5495762952269292,0.03787878787878788,0,0,0.6239224137931034,0.5,58,2316
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,0,1103515245,LOCAL_HOTSPOT,9,21574,194311,2,6,251069,299977,RUN_END,872,SEARCH=0.2545871559633027;INSERT=0.4426605504587156;DELETE=0.0963302752293578;UPDATE=0.1536697247706422;RANGE_SEARCH=0.052752293577981654,SEARCH=0.05084745762711865;INSERT=0.7288135593220338;DELETE=0.05084745762711865;UPDATE=0.0847457627118644;RANGE_SEARCH=0.0847457627118644,200.0,1700.0,700.0,300.0,1600.0,1700.0,0.917602917344823,0.035258814703675916,0,0,0.6549258474576272,0.5,59,2473
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,1,214013,LOCAL_HOTSPOT,2,20998,111319,1,7,111363,142217,WINDOW_COMPLETE,1024,SEARCH=0.2490234375;INSERT=0.4375;DELETE=0.0908203125;UPDATE=0.1591796875;RANGE_SEARCH=0.0634765625,SEARCH=0.12048192771084337;INSERT=0.7108433734939759;DELETE=0.03614457831325301;UPDATE=0.04819277108433735;RANGE_SEARCH=0.08433734939759036,200.0,3200.0,1400.0,200.0,5400.0,5400.0,1.9525166844637885,0.045165394402035625,24,0,0.6237399193548387,0.5,62,2475
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,1,214013,LOCAL_HOTSPOT,2,20998,111319,2,8,142285,176753,WINDOW_COMPLETE,1024,SEARCH=0.267578125;INSERT=0.439453125;DELETE=0.08984375;UPDATE=0.1484375;RANGE_SEARCH=0.0546875,SEARCH=0.14772727272727273;INSERT=0.6477272727272727;DELETE=0.022727272727272728;UPDATE=0.10227272727272728;RANGE_SEARCH=0.07954545454545454,200.0,800.0,600.0,100.0,4200.0,4200.0,1.0997684412704833,0.038672350791717415,4,0,0.6704545454545454,0.5,33,1416
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,1,214013,LOCAL_HOTSPOT,2,20998,111319,3,9,176843,240494,WINDOW_COMPLETE,1024,SEARCH=0.234375;INSERT=0.443359375;DELETE=0.1123046875;UPDATE=0.154296875;RANGE_SEARCH=0.0556640625,SEARCH=0.14285714285714285;INSERT=0.7532467532467533;DELETE=0.025974025974025976;UPDATE=0.03896103896103896;RANGE_SEARCH=0.03896103896103896,200.0,1300.0,700.0,200.0,4300.0,4300.0,1.257523916889086,0.034658264663111976,8,0,0.6955030487804879,0.5,41,1825
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,1,214013,LOCAL_HOTSPOT,2,20998,111319,4,10,240538,299827,RUN_END,976,SEARCH=0.2387295081967213;INSERT=0.4682377049180328;DELETE=0.10245901639344263;UPDATE=0.14344262295081966;RANGE_SEARCH=0.0471311475409836,SEARCH=0.10638297872340426;INSERT=0.7553191489361702;DELETE=0.0425531914893617;UPDATE=0.0425531914893617;RANGE_SEARCH=0.05319148936170213,300.0,2100.0,300.0,200.0,1700.0,2100.0,0.9262612842739266,0.03420862442784871,0,0,0.6650943396226415,0.5,53,2256
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,2,1664525,LOCAL_HOTSPOT,15,21588,191671,1,5,191681,250661,WINDOW_COMPLETE,1024,SEARCH=0.2294921875;INSERT=0.4453125;DELETE=0.09765625;UPDATE=0.1630859375;RANGE_SEARCH=0.064453125,SEARCH=0.10344827586206896;INSERT=0.7241379310344828;DELETE=0.011494252873563218;UPDATE=0.04597701149425287;RANGE_SEARCH=0.11494252873563218,400.0,1000.0,100.0,200.0,2800.0,2800.0,1.5571300751149542,0.034165834165834165,14,0,0.6888297872340425,0.5,47,2072
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,2,1664525,LOCAL_HOTSPOT,15,21588,191671,2,6,250706,299945,RUN_END,826,SEARCH=0.2457627118644068;INSERT=0.45278450363196127;DELETE=0.11259079903147699;UPDATE=0.13317191283292978;RANGE_SEARCH=0.05569007263922518,SEARCH=0.07142857142857142;INSERT=0.7857142857142857;DELETE=0.02857142857142857;UPDATE=0.02857142857142857;RANGE_SEARCH=0.08571428571428572,200.0,1800.0,600.0,200.0,1300.0,1800.0,1.5384615384615385,0.03343166175024582,0,0,0.6382415254237288,0.5,59,2410
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,2,1664525,LOCAL_HOTSPOT,17,21179,247736,1,8,247772,299941,RUN_END,864,SEARCH=0.2708333333333333;INSERT=0.4212962962962963;DELETE=0.10416666666666667;UPDATE=0.1597222222222222;RANGE_SEARCH=0.04398148148148148,SEARCH=0.12121212121212122;INSERT=0.6363636363636364;DELETE=0.07575757575757576;UPDATE=0.09090909090909091;RANGE_SEARCH=0.07575757575757576,200.0,900.0,900.0,200.0,4700.0,4700.0,0.8490566037735849,0.0347343841214244,0,0,0.628015350877193,0.5,57,2291
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,3,22695477,LOCAL_HOTSPOT,1,20997,60895,1,5,60922,76705,WINDOW_COMPLETE,1024,SEARCH=0.248046875;INSERT=0.4521484375;DELETE=0.087890625;UPDATE=0.154296875;RANGE_SEARCH=0.0576171875,SEARCH=0.08064516129032258;INSERT=0.6935483870967742;DELETE=0.06451612903225806;UPDATE=0.0967741935483871;RANGE_SEARCH=0.06451612903225806,4000.0,2800.0,1100.0,400.0,2000.0,4000.0,0.9955133661840101,0.05016883743367101,1,0,0.80224609375,0.515625,64,3286
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,3,22695477,LOCAL_HOTSPOT,1,20997,60895,2,6,76708,106837,WINDOW_COMPLETE,1024,SEARCH=0.251953125;INSERT=0.46484375;DELETE=0.0927734375;UPDATE=0.14453125;RANGE_SEARCH=0.0458984375,SEARCH=0.03125;INSERT=0.796875;DELETE=0.03125;UPDATE=0.078125;RANGE_SEARCH=0.0625,100.0,4800.0,700.0,300.0,1000.0,4800.0,1.6405071943101013,0.03938185443668993,16,0,0.6585771276595744,0.5,47,1981
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,3,22695477,LOCAL_HOTSPOT,1,20997,60895,3,7,106875,140668,WINDOW_COMPLETE,1024,SEARCH=0.2451171875;INSERT=0.447265625;DELETE=0.09375;UPDATE=0.158203125;RANGE_SEARCH=0.0556640625,SEARCH=0.13414634146341464;INSERT=0.6341463414634146;DELETE=0.024390243902439025;UPDATE=0.07317073170731707;RANGE_SEARCH=0.13414634146341464,300.0,3400.0,700.0,200.0,3000.0,3400.0,1.3409068319952893,0.043037088873338,9,0,0.6648995535714286,0.5,56,2383
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,3,22695477,LOCAL_HOTSPOT,6,20999,141856,1,8,141880,173380,WINDOW_COMPLETE,1024,SEARCH=0.24609375;INSERT=0.4482421875;DELETE=0.1044921875;UPDATE=0.1640625;RANGE_SEARCH=0.037109375,SEARCH=0.05555555555555555;INSERT=0.7638888888888888;DELETE=0.041666666666666664;UPDATE=0.1111111111111111;RANGE_SEARCH=0.027777777777777776,300.0,900.0,800.0,200.0,3600.0,3600.0,1.0694448498404403,0.0421792618629174,3,0,0.7060546875,0.546875,64,2892
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,3,22695477,LOCAL_HOTSPOT,1,20997,60895,4,8,140674,174323,WINDOW_COMPLETE,1024,SEARCH=0.2646484375;INSERT=0.447265625;DELETE=0.091796875;UPDATE=0.15625;RANGE_SEARCH=0.0400390625,SEARCH=0.05333333333333334;INSERT=0.76;DELETE=0.04;UPDATE=0.09333333333333334;RANGE_SEARCH=0.05333333333333334,200.0,1700.0,700.0,200.0,900.0,1700.0,1.1692719825293911,0.04092827004219409,5,0,0.7138831967213115,0.5,61,2787
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,3,22695477,LOCAL_HOTSPOT,1,20997,60895,5,9,174377,213859,WINDOW_COMPLETE,1024,SEARCH=0.2763671875;INSERT=0.44921875;DELETE=0.0888671875;UPDATE=0.14453125;RANGE_SEARCH=0.041015625,SEARCH=0.14285714285714285;INSERT=0.7380952380952381;DELETE=0.047619047619047616;UPDATE=0.023809523809523808;RANGE_SEARCH=0.047619047619047616,200.0,6100.0,600.0,200.0,3700.0,6100.0,1.7784256559766765,0.03380662609871535,5,0,0.7784090909090909,0.515625,33,1644
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,3,22695477,LOCAL_HOTSPOT,6,20999,141856,2,9,173402,221517,WINDOW_COMPLETE,1024,SEARCH=0.2431640625;INSERT=0.451171875;DELETE=0.1005859375;UPDATE=0.1552734375;RANGE_SEARCH=0.0498046875,SEARCH=0.15853658536585366;INSERT=0.6707317073170732;DELETE=0.07317073170731707;UPDATE=0.012195121951219513;RANGE_SEARCH=0.08536585365853659,200.0,900.0,700.0,100.0,1000.0,1000.0,1.071176906877404,0.036815324753067945,3,0,0.7840073529411765,0.515625,34,1706
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,3,22695477,LOCAL_HOTSPOT,11,21001,181116,1,9,181158,244568,WINDOW_COMPLETE,1024,SEARCH=0.2939453125;INSERT=0.447265625;DELETE=0.087890625;UPDATE=0.126953125;RANGE_SEARCH=0.0439453125,SEARCH=0.2235294117647059;INSERT=0.5764705882352941;DELETE=0.07058823529411765;UPDATE=0.058823529411764705;RANGE_SEARCH=0.07058823529411765,200.0,900.0,600.0,200.0,1700.0,1700.0,1.1987809509999316,0.03403863845446182,6,0,0.7694256756756757,0.5,37,1822
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,3,22695477,LOCAL_HOTSPOT,6,20999,141856,3,10,221562,287434,WINDOW_COMPLETE,1024,SEARCH=0.24609375;INSERT=0.4541015625;DELETE=0.09375;UPDATE=0.15625;RANGE_SEARCH=0.0498046875,SEARCH=0.12790697674418605;INSERT=0.7441860465116279;DELETE=0.023255813953488372;UPDATE=0.05813953488372093;RANGE_SEARCH=0.046511627906976744,200.0,5400.0,600.0,200.0,2100.0,5400.0,1.5823537833012615,0.03154788924194281,15,0,0.6852678571428571,0.5,49,2149
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,3,22695477,LOCAL_HOTSPOT,11,21001,181116,2,10,244625,299975,RUN_END,860,SEARCH=0.2453488372093023;INSERT=0.46744186046511627;DELETE=0.1;UPDATE=0.1313953488372093;RANGE_SEARCH=0.05581395348837209,SEARCH=0.07042253521126761;INSERT=0.7183098591549296;DELETE=0.04225352112676056;UPDATE=0.028169014084507043;RANGE_SEARCH=0.14084507042253522,200.0,1400.0,700.0,200.0,4700.0,4700.0,0.9310120100549296,0.033713200379867046,0,0,0.6453419811320755,0.5,53,2189
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,3,22695477,LOCAL_HOTSPOT,6,20999,141856,4,11,287465,299885,RUN_END,178,SEARCH=0.19101123595505617;INSERT=0.5337078651685393;DELETE=0.06741573033707865;UPDATE=0.15730337078651685;RANGE_SEARCH=0.05056179775280899,SEARCH=0.0;INSERT=0.8571428571428571;DELETE=0.0;UPDATE=0.0;RANGE_SEARCH=0.14285714285714285,NaN,800.0,NaN,NaN,2500.0,2500.0,0.9440439203642612,0.033860045146726865,0,0,0.6252790178571429,0.5,56,2241
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,3,22695477,LOCAL_HOTSPOT,16,20997,248372,1,10,248460,299987,RUN_END,808,SEARCH=0.2623762376237624;INSERT=0.44554455445544555;DELETE=0.09900990099009901;UPDATE=0.14603960396039603;RANGE_SEARCH=0.04702970297029703,SEARCH=0.03508771929824561;INSERT=0.8070175438596491;DELETE=0.05263157894736842;UPDATE=0.017543859649122806;RANGE_SEARCH=0.08771929824561403,100.0,1300.0,100.0,100.0,4000.0,4000.0,0.9519973145350789,0.034492507774950526,0,0,0.6462264150943396,0.5,53,2192
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,3,22695477,LOCAL_HOTSPOT,17,21604,284997,1,6,285016,299968,RUN_END,242,SEARCH=0.21487603305785125;INSERT=0.49586776859504134;DELETE=0.08264462809917356;UPDATE=0.1487603305785124;RANGE_SEARCH=0.05785123966942149,SEARCH=0.08333333333333333;INSERT=0.75;DELETE=0.041666666666666664;UPDATE=0.041666666666666664;RANGE_SEARCH=0.08333333333333333,100.0,800.0,700.0,200.0,1100.0,1100.0,0.7721332375487637,0.03626943005181347,0,0,0.6600825471698113,0.5,53,2239
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,4,69069,LOCAL_HOTSPOT,3,20998,101544,1,7,101583,134217,WINDOW_COMPLETE,1024,SEARCH=0.2685546875;INSERT=0.4296875;DELETE=0.0966796875;UPDATE=0.1572265625;RANGE_SEARCH=0.0478515625,SEARCH=0.11940298507462686;INSERT=0.7014925373134329;DELETE=0.04477611940298507;UPDATE=0.05970149253731343;RANGE_SEARCH=0.07462686567164178,200.0,1600.0,200.0,200.0,700.0,1600.0,2.057133279057516,0.04479578392621871,25,0,0.6009004237288136,0.5,59,2269
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,4,69069,LOCAL_HOTSPOT,3,20998,101544,2,8,134243,165748,WINDOW_COMPLETE,1024,SEARCH=0.2314453125;INSERT=0.4462890625;DELETE=0.10546875;UPDATE=0.154296875;RANGE_SEARCH=0.0625,SEARCH=0.08823529411764706;INSERT=0.6911764705882353;DELETE=0.029411764705882353;UPDATE=0.11764705882352941;RANGE_SEARCH=0.07352941176470588,200.0,800.0,600.0,200.0,4000.0,4000.0,1.1232484308267827,0.04277921332184898,4,0,0.6617063492063492,0.5,63,2668
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,4,69069,LOCAL_HOTSPOT,3,20998,101544,3,9,165759,198693,WINDOW_COMPLETE,1024,SEARCH=0.2412109375;INSERT=0.455078125;DELETE=0.099609375;UPDATE=0.1513671875;RANGE_SEARCH=0.052734375,SEARCH=0.08888888888888889;INSERT=0.7444444444444445;DELETE=0.07777777777777778;UPDATE=0.022222222222222223;RANGE_SEARCH=0.06666666666666667,200.0,1300.0,1000.0,200.0,3600.0,3600.0,1.3402061855670102,0.03651287857345033,1,0,0.753173828125,0.515625,64,3085
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,4,69069,LOCAL_HOTSPOT,7,21000,173377,1,9,173382,232333,WINDOW_COMPLETE,1024,SEARCH=0.2421875;INSERT=0.439453125;DELETE=0.1103515625;UPDATE=0.1591796875;RANGE_SEARCH=0.048828125,SEARCH=0.10465116279069768;INSERT=0.7558139534883721;DELETE=0.03488372093023256;UPDATE=0.05813953488372093;RANGE_SEARCH=0.046511627906976744,200.0,1100.0,700.0,200.0,4900.0,4900.0,1.256939872886188,0.03749622013909888,7,0,0.7466216216216216,0.5,37,1768
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,4,69069,LOCAL_HOTSPOT,3,20998,101544,4,10,198756,250949,WINDOW_COMPLETE,1024,SEARCH=0.24609375;INSERT=0.4482421875;DELETE=0.115234375;UPDATE=0.1552734375;RANGE_SEARCH=0.03515625,SEARCH=0.12;INSERT=0.7466666666666667;DELETE=0.013333333333333334;UPDATE=0.09333333333333334;RANGE_SEARCH=0.02666666666666667,400.0,1600.0,600.0,200.0,1900.0,1900.0,1.6494845360824741,0.033741193919169445,5,0,0.7790798611111112,0.5,36,1795
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,4,69069,LOCAL_HOTSPOT,7,21000,173377,2,10,232343,293846,WINDOW_COMPLETE,1024,SEARCH=0.2578125;INSERT=0.4287109375;DELETE=0.109375;UPDATE=0.1494140625;RANGE_SEARCH=0.0546875,SEARCH=0.16417910447761194;INSERT=0.6268656716417911;DELETE=0.04477611940298507;UPDATE=0.05970149253731343;RANGE_SEARCH=0.1044776119402985,200.0,1500.0,100.0,100.0,4000.0,4000.0,1.61976426756517,0.034738911951059645,15,0,0.6544471153846154,0.5,52,2178
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,4,69069,LOCAL_HOTSPOT,12,21172,262841,1,9,262860,300000,RUN_END,575,SEARCH=0.24521739130434783;INSERT=0.4469565217391304;DELETE=0.12;UPDATE=0.1391304347826087;RANGE_SEARCH=0.04869565217391304,SEARCH=0.0784313725490196;INSERT=0.7058823529411765;DELETE=0.058823529411764705;UPDATE=0.11764705882352941;RANGE_SEARCH=0.0392156862745098,200.0,1400.0,700.0,200.0,1200.0,1400.0,0.7566250630971257,0.0347247875877355,0,0,0.625,0.5,59,2360
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,4,69069,LOCAL_HOTSPOT,7,21000,173377,3,11,293883,299972,RUN_END,116,SEARCH=0.23275862068965517;INSERT=0.47413793103448276;DELETE=0.12931034482758622;UPDATE=0.12931034482758622;RANGE_SEARCH=0.034482758620689655,SEARCH=0.0;INSERT=0.875;DELETE=0.125;UPDATE=0.0;RANGE_SEARCH=0.0,NaN,1300.0,100.0,NaN,NaN,1300.0,0.957040742229022,0.03880597014925373,0,0,0.6571344339622641,0.5,53,2229
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,4,69069,LOCAL_HOTSPOT,3,20998,101544,5,11,250951,299995,RUN_END,739,SEARCH=0.2746955345060893;INSERT=0.4330175913396482;DELETE=0.09472259810554803;UPDATE=0.14343707713125844;RANGE_SEARCH=0.05412719891745602,SEARCH=0.16326530612244897;INSERT=0.6530612244897959;DELETE=0.061224489795918366;UPDATE=0.04081632653061224;RANGE_SEARCH=0.08163265306122448,300.0,900.0,200.0,100.0,1100.0,1100.0,0.9520616828695943,0.03483792790063617,0,0,0.6274038461538461,0.5,52,2088
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,5,48271,LOCAL_HOTSPOT,9,21001,132914,1,8,132934,168030,WINDOW_COMPLETE,1024,SEARCH=0.2578125;INSERT=0.4345703125;DELETE=0.10546875;UPDATE=0.162109375;RANGE_SEARCH=0.0400390625,SEARCH=0.16216216216216217;INSERT=0.6216216216216216;DELETE=0.05405405405405406;UPDATE=0.06756756756756757;RANGE_SEARCH=0.0945945945945946,200.0,1000.0,700.0,200.0,1200.0,1200.0,1.2485144076540622,0.03941908713692946,7,0,0.6911458333333333,0.5,60,2654
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,5,48271,LOCAL_HOTSPOT,11,20999,164157,1,9,164171,197943,WINDOW_COMPLETE,1024,SEARCH=0.2548828125;INSERT=0.4501953125;DELETE=0.1123046875;UPDATE=0.130859375;RANGE_SEARCH=0.0517578125,SEARCH=0.08974358974358974;INSERT=0.717948717948718;DELETE=0.02564102564102564;UPDATE=0.07692307692307693;RANGE_SEARCH=0.08974358974358974,200.0,800.0,700.0,200.0,1000.0,1000.0,1.0836659680949439,0.03725015142337977,3,0,0.767578125,0.609375,32,1572
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,5,48271,LOCAL_HOTSPOT,9,21001,132914,2,9,168036,200980,WINDOW_COMPLETE,1024,SEARCH=0.25390625;INSERT=0.421875;DELETE=0.1103515625;UPDATE=0.154296875;RANGE_SEARCH=0.0595703125,SEARCH=0.0641025641025641;INSERT=0.6666666666666666;DELETE=0.01282051282051282;UPDATE=0.14102564102564102;RANGE_SEARCH=0.11538461538461539,200.0,800.0,800.0,200.0,1600.0,1600.0,0.9922684493375017,0.03667100130039012,1,0,0.7781762295081968,0.5,61,3038
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,5,48271,LOCAL_HOTSPOT,11,20999,164157,2,10,197992,259484,WINDOW_COMPLETE,1024,SEARCH=0.2421875;INSERT=0.462890625;DELETE=0.0947265625;UPDATE=0.1435546875;RANGE_SEARCH=0.056640625,SEARCH=0.13924050632911392;INSERT=0.6962025316455697;DELETE=0.02531645569620253;UPDATE=0.06329113924050633;RANGE_SEARCH=0.0759493670886076,200.0,37200.0,200.0,200.0,4000.0,37200.0,14.090909090909093,0.03259911894273128,14,0,0.6820652173913043,0.5,46,2008
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,5,48271,LOCAL_HOTSPOT,9,21001,132914,3,10,201057,260911,WINDOW_COMPLETE,1024,SEARCH=0.267578125;INSERT=0.435546875;DELETE=0.1103515625;UPDATE=0.1455078125;RANGE_SEARCH=0.041015625,SEARCH=0.05714285714285714;INSERT=0.7142857142857143;DELETE=0.14285714285714285;UPDATE=0.07142857142857142;RANGE_SEARCH=0.014285714285714285,300.0,2200.0,800.0,100.0,900.0,2200.0,1.7320766126474416,0.03410513141426783,18,0,0.6402853260869565,0.5,46,1885
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,5,48271,LOCAL_HOTSPOT,12,21580,211288,1,5,211310,274651,WINDOW_COMPLETE,1024,SEARCH=0.2373046875;INSERT=0.4560546875;DELETE=0.109375;UPDATE=0.15625;RANGE_SEARCH=0.041015625,SEARCH=0.10975609756097561;INSERT=0.7804878048780488;DELETE=0.012195121951219513;UPDATE=0.04878048780487805;RANGE_SEARCH=0.04878048780487805,200.0,700.0,100.0,300.0,1000.0,1000.0,1.43341958222715,0.03540587219343696,13,0,0.7154255319148937,0.5,47,2152
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,5,48271,LOCAL_HOTSPOT,9,21001,132914,4,11,261047,299825,RUN_END,573,SEARCH=0.2582897033158813;INSERT=0.4363001745200698;DELETE=0.09947643979057591;UPDATE=0.16055846422338568;RANGE_SEARCH=0.04537521815008726,SEARCH=0.029411764705882353;INSERT=0.7941176470588235;DELETE=0.058823529411764705;UPDATE=0.029411764705882353;RANGE_SEARCH=0.08823529411764706,100.0,1200.0,0.0,100.0,1100.0,1200.0,0.9484224607535875,0.0368442130556668,0,0,0.6255896226415094,0.5,53,2122
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,5,48271,LOCAL_HOTSPOT,12,21580,211288,2,6,274705,299946,RUN_END,422,SEARCH=0.22511848341232227;INSERT=0.48104265402843605;DELETE=0.0971563981042654;UPDATE=0.13507109004739337;RANGE_SEARCH=0.061611374407582936,SEARCH=0.05405405405405406;INSERT=0.7297297297297297;DELETE=0.05405405405405406;UPDATE=0.02702702702702703;RANGE_SEARCH=0.13513513513513514,200.0,1200.0,100.0,100.0,3900.0,3900.0,1.0810810810810811,0.0319744204636291,0,0,0.6534598214285714,0.5,56,2342
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,5,48271,LOCAL_HOTSPOT,11,20999,164157,3,11,259499,299982,RUN_END,664,SEARCH=0.2469879518072289;INSERT=0.47289156626506024;DELETE=0.0963855421686747;UPDATE=0.13253012048192772;RANGE_SEARCH=0.05120481927710843,SEARCH=0.0625;INSERT=0.75;DELETE=0.08333333333333333;UPDATE=0.020833333333333332;RANGE_SEARCH=0.08333333333333333,200.0,900.0,400.0,200.0,4100.0,4100.0,0.9528208512042231,0.03300124533001245,0,0,0.6548295454545454,0.5,55,2305
