profile,workload,variant,repetition,seed,initial_records,operations,elapsed_nanos,throughput_ops_s,mean_latency_ns,p50_latency_ns,p95_latency_ns,p99_latency_ns,max_latency_ns,search_p95_ns,insert_p95_ns,delete_p95_ns,update_p95_ns,range_p95_ns,final_records,leaf_count,avg_occupancy,peak_heap_bytes,process_cpu_nanos,current_thread_cpu_nanos,current_thread_allocated_bytes,gc_collections,gc_time_millis,jit_compilation_millis,controller_nanos,controller_time_share_pct,maintenance_count,maintenance_nanos,records_moved,leaves_touched,full_rebuilds,commit_count,rollback_count,abstain_count,no_trial_commits,failed_trials_kept,structural_attempts,expected_diagnosis_matches,expected_diagnosis_mismatches,observation_windows,reference_ready_windows,degraded_windows,persistent_triggers,diagnosis_attempts,confident_diagnoses,candidate_selections,trial_starts
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,0,1103515245,10000,2384,17335100,137524.44462391332,6939.387583892618,300.0,1300.0,11100.0,10913200,NaN,NaN,NaN,NaN,NaN,12384,272,0.7113970588235294,14680064,93750000,31250000,1037624,0,0,25,14844700,85.6337719424751,1,533000,55,3,0,0,1,0,0,0,1,1,0,17,2,2,1,1,1,1,1
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,1,214013,10000,2384,2405500,991062.149241322,665.2684563758389,300.0,1200.0,6400.0,175700,NaN,NaN,NaN,NaN,NaN,12384,272,0.7113970588235294,16777216,31250000,0,460512,0,0,4,415600,17.27707337351902,1,27200,55,3,0,0,1,0,0,0,1,1,0,17,2,2,1,1,1,1,1
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,2,1664525,10000,2384,14803000,161048.43612781193,5915.10067114094,300.0,1200.0,7600.0,9437900,NaN,NaN,NaN,NaN,NaN,12384,272,0.7113970588235294,14680064,46875000,15625000,1033256,0,0,46,12627700,85.3050057420793,1,376400,55,3,0,0,1,0,0,0,1,1,0,17,2,2,1,1,1,1,1
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,3,22695477,10000,2384,2389400,997740.0184146648,668.1208053691275,300.0,1100.0,6100.0,156300,NaN,NaN,NaN,NaN,NaN,12384,272,0.7113970588235294,14680064,0,0,460512,0,0,3,408200,17.08378672470076,1,20900,55,3,0,0,1,0,0,0,1,1,0,17,2,2,1,1,1,1,1
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,4,69069,10000,2384,2402300,992382.3002955501,673.238255033557,300.0,1200.0,6600.0,170000,NaN,NaN,NaN,NaN,NaN,12384,272,0.7113970588235294,14680064,0,0,460776,0,0,2,427400,17.79128335345294,1,22000,55,3,0,0,1,0,0,0,1,1,0,17,2,2,1,1,1,1,1
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,5,48271,10000,2384,16823300,141708.22609119496,6759.689597315436,200.0,1100.0,6900.0,11326000,NaN,NaN,NaN,NaN,NaN,12384,272,0.7113970588235294,15728640,93750000,15625000,1028912,0,0,35,14666300,87.1784964899871,1,346100,55,3,0,0,1,0,0,0,1,1,0,17,2,2,1,1,1,1,1
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,6,134775813,10000,2384,16222500,146956.38773308677,6463.296979865771,300.0,1200.0,8800.0,10304100,NaN,NaN,NaN,NaN,NaN,12384,272,0.7113970588235294,14680064,31250000,15625000,1035536,0,0,60,13802200,85.08059793496686,1,381700,55,3,0,0,1,0,0,0,1,1,0,17,2,2,1,1,1,1,1
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,7,16807,10000,2384,16131400,147786.30497043033,6464.890939597315,200.0,1000.0,6400.0,10488100,NaN,NaN,NaN,NaN,NaN,12384,272,0.7113970588235294,14680064,93750000,31250000,1030488,0,0,62,14149300,87.71278376334354,1,411000,55,3,0,0,1,0,0,0,1,1,0,17,2,2,1,1,1,1,1
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,8,2147483647,10000,2384,2164000,1101663.5859519409,561.4093959731543,200.0,1000.0,6400.0,138700,NaN,NaN,NaN,NaN,NaN,12384,272,0.7113970588235294,14680064,0,0,415400,0,0,1,392500,18.137707948243992,1,20000,55,3,0,0,1,0,0,0,1,1,0,17,2,2,1,1,1,1,1
PUBLICATION,INSERT_PRESSURE_CONTROL,LARS_FULL,9,6364136223846793005,10000,2384,3067200,777256.1293688054,849.8322147651006,300.0,1600.0,8200.0,249400,NaN,NaN,NaN,NaN,NaN,12384,272,0.7113970588235294,14680064,0,0,461480,0,0,27,557300,18.169666145018258,1,39000,55,3,0,0,1,0,0,0,1,1,0,17,2,2,1,1,1,1,1
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,0,1103515245,1000000,300000,270961700,1107167.5443429828,670.03,500.0,1600.0,2700.0,3716200,400.0,1700.0,1700.0,500.0,3500.0,1116659,23343,0.747453064087735,248512512,1000000000,281250000,98187008,0,0,744,31417400,11.594775202547076,3,808600,177,9,0,2,1,12,0,0,3,0,0,218,127,62,23,15,9,3,3
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,1,214013,1000000,300000,262456600,1143046.126483388,666.6406666666667,500.0,1600.0,2700.0,10622700,400.0,1700.0,1700.0,400.0,3700.0,1115764,23359,0.7463424161993236,246415360,765625000,250000000,95604456,0,0,756,20980400,7.993854984024026,4,119000,245,12,0,1,3,8,0,0,4,0,0,220,126,57,18,12,5,4,4
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,2,1664525,1000000,300000,295265100,1016036.0977304801,788.978,600.0,1700.0,2700.0,18159700,500.0,1900.0,1800.0,500.0,3800.0,1116289,23362,0.7465977067459978,251658240,1000000000,296875000,101144272,0,0,995,38254700,12.956052035950066,4,839500,259,13,0,2,2,15,0,0,4,0,0,222,129,76,38,19,9,4,4
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,3,22695477,1000000,300000,285607600,1050392.2164536237,714.3576666666667,500.0,1600.0,2800.0,9001600,500.0,1800.0,1800.0,500.0,3600.0,1116254,23371,0.7462867977407899,251658240,859375000,250000000,100343752,0,0,879,38327100,13.419495839746562,6,1120900,319,18,0,5,1,13,0,0,6,0,0,214,125,65,27,19,8,6,6
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,4,69069,1000000,300000,236338700,1269364.6872052695,606.625,500.0,1500.0,2400.0,1490800,400.0,1600.0,1700.0,400.0,3400.0,1116551,23387,0.7459746600675589,252786832,562500000,234375000,100832536,0,0,503,13708300,5.800277313871998,5,294900,330,16,0,3,2,8,0,0,5,0,0,219,126,65,30,13,5,5,5
