profile,workload,variant,repetition,seed,initial_records,operations,elapsed_nanos,throughput_ops_s,mean_latency_ns,p50_latency_ns,p95_latency_ns,p99_latency_ns,max_latency_ns,search_p95_ns,insert_p95_ns,delete_p95_ns,update_p95_ns,range_p95_ns,final_records,leaf_count,avg_occupancy,peak_heap_bytes,process_cpu_nanos,current_thread_cpu_nanos,current_thread_allocated_bytes,gc_collections,gc_time_millis,jit_compilation_millis,controller_nanos,controller_time_share_pct,maintenance_count,maintenance_nanos,records_moved,leaves_touched,full_rebuilds,commit_count,rollback_count,abstain_count,no_trial_commits,failed_trials_kept,structural_attempts,expected_diagnosis_matches,expected_diagnosis_mismatches,observation_windows,reference_ready_windows,degraded_windows,persistent_triggers,diagnosis_attempts,confident_diagnoses,candidate_selections,trial_starts
YCSB_VALIDATION,YCSB_A,LARS_FULL,0,1103515245,1000000,300000,112177900,2674323.552143515,237.55733333333333,200.0,400.0,500.0,165800,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,165675008,437500000,125000000,46091512,0,0,347,655300,0.5841614079065485,0,0,0,0,0,0,0,0,0,0,0,0,0,66,21,4,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,1000000,300000,120386500,2491973.767822804,252.54666666666665,200.0,400.0,500.0,127000,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,167000240,578125000,140625000,48694672,0,0,481,580600,0.48227998986597337,0,0,0,0,0,0,0,0,0,0,0,0,0,67,21,6,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,2,1664525,1000000,300000,130237000,2303492.8630112796,278.75466666666665,200.0,400.0,600.0,3560000,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,167772160,546875000,125000000,48324528,0,0,359,4323900,3.320024263458157,0,0,0,0,0,0,0,1,0,0,0,0,0,68,21,3,1,1,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,3,22695477,1000000,300000,122899100,2441026.8260711427,265.313,200.0,400.0,600.0,2716700,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,165179744,531250000,140625000,45653704,0,0,381,3514200,2.8594188240597367,0,0,0,0,0,0,0,2,0,0,0,0,0,64,21,5,2,2,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,4,69069,1000000,300000,114458500,2621037.31920303,241.50866666666667,200.0,400.0,600.0,184400,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,165675008,390625000,125000000,46046080,0,0,361,646700,0.5650082781095331,0,0,0,0,0,0,0,0,0,0,0,0,0,66,20,1,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,5,48271,1000000,300000,124798400,2403876.9727817024,262.9676666666667,200.0,400.0,600.0,166900,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,168820736,468750000,140625000,48074432,0,0,454,857500,0.6871081680534366,0,0,0,0,0,0,0,0,0,0,0,0,0,70,22,4,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,6,134775813,1000000,300000,130522500,2298454.289490318,272.4626666666667,200.0,400.0,600.0,3275500,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,167772160,468750000,140625000,48447664,0,0,453,4224000,3.2362236396023674,0,0,0,0,0,0,0,4,0,0,0,0,0,64,21,8,4,4,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,7,16807,1000000,300000,132976600,2256036.024383237,285.457,300.0,500.0,600.0,682300,500.0,NaN,NaN,500.0,NaN,1000000,20834,0.7499760007679754,168820736,515625000,140625000,48222408,0,0,384,890600,0.6697418944385704,0,0,0,0,0,0,0,0,0,0,0,0,0,69,22,3,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,8,2147483647,1000000,300000,119714100,2505970.4746558676,252.83433333333332,200.0,400.0,500.0,144400,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,167772160,515625000,125000000,48229072,0,0,382,676200,0.5648457449874326,0,0,0,0,0,0,0,0,0,0,0,0,0,70,21,5,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,9,6364136223846793005,1000000,300000,121380600,2471564.6487165163,258.69,200.0,400.0,600.0,719400,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,167772160,531250000,125000000,48309152,0,0,437,636100,0.524054091016192,0,0,0,0,0,0,0,0,0,0,0,0,0,68,21,2,0,0,0,0,0
