workload,comparator,metric,paired_n,improvement_pct,ci_low,ci_high,p_raw,family,p_holm
LOCAL_HOTSPOT,STATIC_BPLUS,throughput_ops_s,10,-33.418482101258235,-39.16955085414834,-24.050077926142325,0.001953125,baseline,0.0078125
LOCAL_HOTSPOT,STATIC_BPLUS,p99_latency_ns,10,-48.684210526315795,-84.6749226006192,-19.266917293233085,0.009765625,baseline,0.01953125
LOCAL_HOTSPOT,PERIODIC_GLOBAL_REBUILD,throughput_ops_s,10,128.2590882621171,101.38402566320173,139.0303792632929,0.001953125,baseline,0.0078125
LOCAL_HOTSPOT,PERIODIC_GLOBAL_REBUILD,p99_latency_ns,10,-50.0,-83.33333333333333,-40.90909090909091,0.00390625,baseline,0.01171875
LOCAL_HOTSPOT,THRESHOLD_GLOBAL_REBUILD,throughput_ops_s,10,149.98250218086267,122.14869358612013,169.93468202011405,0.001953125,baseline,0.0078125
LOCAL_HOTSPOT,THRESHOLD_GLOBAL_REBUILD,p99_latency_ns,10,-61.76470588235294,-107.5,-50.0,0.001953125,baseline,0.0078125
LOCAL_HOTSPOT,LOCAL_COST_ADAPTIVE,throughput_ops_s,10,-5.865030969905684,-13.919860321376895,0.18047615513947046,0.130859375,baseline,0.130859375
LOCAL_HOTSPOT,LOCAL_COST_ADAPTIVE,p99_latency_ns,10,-5.851851851851852,-50.0,10.0,0.40625,baseline,0.40625
LOCAL_HOTSPOT,LARS_NO_DIAGNOSIS,throughput_ops_s,10,7.700655374128112,-11.768538108341431,24.732941961908278,0.625,ablation,1.0
LOCAL_HOTSPOT,LARS_NO_DIAGNOSIS,p99_latency_ns,10,6.473214285714286,-37.73148148148148,25.902255639097746,0.755859375,ablation,1.0
LOCAL_HOTSPOT,LARS_NO_LOCALITY,throughput_ops_s,10,0.17612300692540475,-13.510599628720898,11.496458512720208,0.921875,ablation,1.0
LOCAL_HOTSPOT,LARS_NO_LOCALITY,p99_latency_ns,10,-5.148883374689826,-34.34065934065934,6.724137931034482,0.337890625,ablation,1.0
