profile,workload,variant,repetition,seed,event_id,region_id,diagnosis,action,post_windows,adequate_same_phase_windows,median_post_gain_vs_trigger,final_post_gain_vs_trigger,derived_trial_scan_amplification_gain,median_post_scan_amplification,classification
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,0,1103515245,9,21574,INSERT_SPLIT_PRESSURE,SLACKEN,2,2,0.7841981132075472,0.8208284198113207,,0.0349137424499382,SUSTAINED_IMPROVEMENT
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,0,1103515245,10,21181,INSERT_SPLIT_PRESSURE,SLACKEN,2,1,,,,0.033882263865228,RIGHT_CENSORED
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,1,214013,2,20998,INSERT_SPLIT_PRESSURE,SLACKEN,4,4,0.7484188988095237,0.7221447172619048,,0.03666530772741465,SUSTAINED_IMPROVEMENT
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,2,1664525,15,21588,INSERT_SPLIT_PRESSURE,SLACKEN,2,2,0.9078543526785714,0.8914620535714286,,0.03379874795803995,SUSTAINED_IMPROVEMENT
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,2,1664525,17,21179,INSERT_SPLIT_PRESSURE,SLACKEN,1,1,,,,0.0347343841214244,RIGHT_CENSORED
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,3,22695477,1,20997,INSERT_SPLIT_PRESSURE,SLACKEN,5,5,0.8980752268145161,0.8669354838709677,,0.040928270042194,SUSTAINED_IMPROVEMENT
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,3,22695477,6,20999,INSERT_SPLIT_PRESSURE,SLACKEN,4,3,0.9432610161870504,0.8232351618705036,,0.0368153247530679,SUSTAINED_IMPROVEMENT
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,3,22695477,11,21001,INSERT_SPLIT_PRESSURE,SLACKEN,2,2,0.9565057899746192,0.9455008724619289,,0.0338759194171644,SUSTAINED_IMPROVEMENT
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,3,22695477,16,20997,INSERT_SPLIT_PRESSURE,SLACKEN,1,1,,,,0.0344925077749505,RIGHT_CENSORED
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,3,22695477,17,21604,INSERT_SPLIT_PRESSURE,SLACKEN,1,0,,,,,RIGHT_CENSORED
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,4,69069,3,20998,INSERT_SPLIT_PRESSURE,SLACKEN,5,5,0.8022580030487805,0.8639005335365854,,0.0365128785734503,SUSTAINED_IMPROVEMENT
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,4,69069,7,21000,INSERT_SPLIT_PRESSURE,SLACKEN,3,2,0.7275094696969697,0.7183948863636364,,0.0361175660450792,SUSTAINED_IMPROVEMENT
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,4,69069,12,21172,INSERT_SPLIT_PRESSURE,SLACKEN,1,1,,,,0.0347247875877355,RIGHT_CENSORED
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,5,48271,9,21001,INSERT_SPLIT_PRESSURE,SLACKEN,4,4,0.9711039847161572,0.9714963155021834,,0.03675760717802845,SUSTAINED_IMPROVEMENT
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,5,48271,11,20999,INSERT_SPLIT_PRESSURE,SLACKEN,3,3,0.9563912429378532,0.9563912429378532,,0.0330012453300124,SUSTAINED_IMPROVEMENT
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,5,48271,12,21580,INSERT_SPLIT_PRESSURE,SLACKEN,2,2,0.8700756316489362,0.8374750664893618,,0.033690146328533,SUSTAINED_IMPROVEMENT
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,5,48271,13,21639,INSERT_SPLIT_PRESSURE,SLACKEN,1,1,,,,0.0353625783348254,RIGHT_CENSORED
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,6,134775813,1,21175,INSERT_SPLIT_PRESSURE,SLACKEN,4,4,0.9602653597608024,0.9557472511574074,,0.040367776185178145,SUSTAINED_IMPROVEMENT
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,6,134775813,2,21000,INSERT_SPLIT_PRESSURE,SLACKEN,5,4,0.8662503150201613,0.9123771421370968,,0.037611147758814356,SUSTAINED_IMPROVEMENT
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,6,134775813,10,20996,INSERT_SPLIT_PRESSURE,SLACKEN,3,3,0.8232421875,0.8674827398255813,,0.0368589743589743,SUSTAINED_IMPROVEMENT
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,6,134775813,12,21170,INSERT_SPLIT_PRESSURE,SLACKEN,2,2,0.9904156684957174,0.9926460691342919,,0.0340282859906548,SUSTAINED_IMPROVEMENT
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,6,134775813,14,21175,INSERT_SPLIT_PRESSURE,SLACKEN,1,1,,,,0.0331335918223475,RIGHT_CENSORED
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,7,16807,13,21610,INSERT_SPLIT_PRESSURE,SLACKEN,1,1,,,,0.0362290611608882,RIGHT_CENSORED
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,8,2147483647,2,21001,INSERT_SPLIT_PRESSURE,SLACKEN,4,4,0.7017390810210129,0.8146132172131147,,0.0347918328960908,SUSTAINED_IMPROVEMENT
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,8,2147483647,4,21000,INSERT_SPLIT_PRESSURE,SLACKEN,3,3,0.8887532552083334,0.9434611002604166,,0.0348101265822784,SUSTAINED_IMPROVEMENT
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,8,2147483647,5,21582,INSERT_SPLIT_PRESSURE,SLACKEN,1,1,,,,0.0326402861614129,RIGHT_CENSORED
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,9,6364136223846793005,3,21173,INSERT_SPLIT_PRESSURE,SLACKEN,5,4,0.41898777173913043,0.4206012228260869,,0.03635658514700705,SUSTAINED_IMPROVEMENT
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,9,6364136223846793005,4,21000,INSERT_SPLIT_PRESSURE,SLACKEN,4,4,0.6478074596774194,0.6537298387096775,,0.0347456377354093,SUSTAINED_IMPROVEMENT
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,9,6364136223846793005,11,21540,INSERT_SPLIT_PRESSURE,SLACKEN,2,1,,,,0.0349774022401257,RIGHT_CENSORED
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,9,6364136223846793005,12,21576,INSERT_SPLIT_PRESSURE,SLACKEN,1,1,,,,0.0361871138570167,RIGHT_CENSORED
PUBLICATION,WORKLOAD_SHIFT,LARS_FULL,2,1664525,8,21198,INSERT_SPLIT_PRESSURE,SLACKEN,1,0,,,,,RIGHT_CENSORED
PUBLICATION,WORKLOAD_SHIFT,LARS_FULL,3,22695477,1,20997,INSERT_SPLIT_PRESSURE,SLACKEN,2,2,0.7173306772908367,0.8084661354581674,,0.049822695035460954,SUSTAINED_IMPROVEMENT
PUBLICATION,WORKLOAD_SHIFT,LARS_FULL,5,48271,3,20998,INSERT_SPLIT_PRESSURE,SLACKEN,1,1,,,,0.0508928571428571,RIGHT_CENSORED
PUBLICATION,WORKLOAD_SHIFT,LARS_FULL,7,16807,3,20998,INSERT_SPLIT_PRESSURE,SLACKEN,1,1,,,,0.0483193277310924,RIGHT_CENSORED
PUBLICATION,WORKLOAD_SHIFT,LARS_FULL,8,2147483647,1,20999,INSERT_SPLIT_PRESSURE,SLACKEN,2,2,0.67047,0.80934,,0.0557082928619771,SUSTAINED_IMPROVEMENT
