comparison,effect_sign,workload,metric,paired_n,paired_median_effect_pct,effect_ci95_low,effect_ci95_high,rank_biserial_effect,p_raw,p_holm
FULL_vs_STATIC,improvement,YCSB_A,throughput_ops_s,10,-16.42433222259256,-18.826042754864567,-9.172734345117211,-0.9636363636363636,0.00390625,0.005859375
FULL_vs_STATIC,improvement,YCSB_A,p99_latency_ns,10,-20.0,-22.5,-10.0,-0.8,0.03515625,0.0625
FULL_vs_STATIC,improvement,YCSB_B,throughput_ops_s,10,-14.047622703035044,-17.61708066420395,-12.106539819308297,-1.0,0.001953125,0.005859375
FULL_vs_STATIC,improvement,YCSB_B,p99_latency_ns,10,-20.0,-20.0,0.0,-1.0,0.03125,0.0625
FULL_vs_STATIC,improvement,YCSB_E,throughput_ops_s,10,-28.629029751250265,-31.629409045683648,-24.699453089094476,-1.0,0.001953125,0.005859375
FULL_vs_STATIC,improvement,YCSB_E,p99_latency_ns,10,-41.73913043478261,-49.913043478260875,-21.73913043478261,-0.9636363636363636,0.00390625,0.01171875
MONITOR_vs_STATIC,tax,YCSB_A,throughput_ops_s,10,12.538058272690446,6.805426372962335,16.385445696879206,0.8909090909090909,0.009765625,0.009765625
MONITOR_vs_STATIC,tax,YCSB_A,p99_latency_ns,10,10.0,0.0,35.0,0.7619047619047619,0.15625,0.15625
MONITOR_vs_STATIC,tax,YCSB_B,throughput_ops_s,10,10.373278934227216,7.561495499003932,15.848675883681889,1.0,0.001953125,0.005859375
MONITOR_vs_STATIC,tax,YCSB_B,p99_latency_ns,10,10.0,0.0,22.5,1.0,0.0625,0.125
MONITOR_vs_STATIC,tax,YCSB_E,throughput_ops_s,10,25.37544721256956,21.996771635350882,27.88212460460837,1.0,0.001953125,0.005859375
MONITOR_vs_STATIC,tax,YCSB_E,p99_latency_ns,10,28.26086956521739,16.402116402116402,41.30434782608695,1.0,0.001953125,0.005859375
FULL_vs_MONITOR,improvement,YCSB_A,throughput_ops_s,10,-4.830772625303041,-10.342990087302354,3.804711496948309,-0.41818181818181815,0.275390625,0.275390625
FULL_vs_MONITOR,improvement,YCSB_A,p99_latency_ns,10,0.0,-20.0,8.333333333333332,-0.3333333333333333,0.6875,1.0
FULL_vs_MONITOR,improvement,YCSB_B,throughput_ops_s,10,-4.493213470980933,-7.317253161473824,1.6151529208029953,-0.5636363636363636,0.130859375,0.26171875
FULL_vs_MONITOR,improvement,YCSB_B,p99_latency_ns,10,0.0,-20.0,8.333333333333332,0.0,1.0,1.0
FULL_vs_MONITOR,improvement,YCSB_E,throughput_ops_s,10,-4.36052722448326,-6.730625413988979,-0.659251686356946,-0.6363636363636364,0.083984375,0.251953125
FULL_vs_MONITOR,improvement,YCSB_E,p99_latency_ns,10,-3.077651515151515,-13.333333333333334,0.21114864864864868,-0.5777777777777777,0.15625,0.46875
